# Generated by tools/gen-engineers.py. Do not edit by hand — rerun the tool.
# Identity from EDCD/FDevIDs engineers.csv; system and base names resolved from those
# ids through spansh.co.uk at generation time; specialities from msarilar/EDEngineer
# blueprints.json (MIT). The referral chain, body, unlock prose and reputation route come
# from EDDiscovery/EliteDangerousCore Engineers.cs at 459d01dc2bcc — C# source, not
# data, so the run asserts all 38 rows parse rather than half-populating the table. Bill
# Turner's referrer is an explicit override; see the script. An Unlock row is filed under
# the engineer it NAMES, not the ones in its Engineers array — those are the referrer on
# all six Odyssey rows, and filing on them put every on-foot tribute one link down the
# chain. Odyssey tributes are EDEngineer's, are cumulative along the chain, and are stale
# since Frontier update 4.0.18.08 — four carry a note saying so. The four Colonia
# engineers have no EDEngineer rows at all and their modification lists were read from the
# wiki; see tools/gen-engineers.py. Coordinates are spansh's, and every one of them agreed
# with EDDiscovery's to within a step of Elite's 1/32 ly grid; the run refuses to write a
# row where they do not. Game data is Frontier's, used
# under their media usage rules — see NOTICE.
# Engineers: 38.
id	name	system	station	tribute	specialities	referred_by	referral_grade	body	discovery	meeting	unlock	reputation	x	y	z
300100	Felicity Farseer	Deciat	Farseer Inc	Meta-alloys ×1	Frame Shift Drive:5,Sensors:3,Surface Scanner:3,Thrusters:3,Frame Shift Drive Interdictor:1,Power Plant:1,Shield Booster:1			6 A	Public data sources.	Gain exploration rank Scout or higher.	Provide 1 unit of Meta Alloys.	Craft modules for a major increase. Sell exploration data at Farseer Inc.	122.625	-0.8125	-47.28125
300090	Hera Tani	Kuwemaki	The Jet's Hole	Kamitra Cigars ×50	Power Plant:5,Surface Scanner:5,Power Distributor:3,Sensors:3	Liz Ryder	3	A 3 A	From Liz Ryder (grade 3-4).	Gain rank Outsider or higher with the Empire.	Provide 50 units of Kamitra Cigars.	Craft modules for a major increase. Sell commodities to The Jet's Hole.	134.65625	-226.90625	-7.8125
400003	Hero Ferrari	Siris	Nevermore Terrace		Faster handling:0,Improved jump assist:0,Increased air reserves:0,Increased sprint duration:0,Noise suppressor:0			5 C	Common knowledge.	Complete 10 surface conflict zones.	Provide 15 Settlement Defence Plans.		131.0625	-73.59375	-11.25
400001	Jude Navarro	Aurai	Marshall's Drift		Added melee damage:0,Damage resistance:0,Extra ammo capacity:0,Magazine size:0,Reload speed:0			1 A	Common knowledge.	Complete 10 Restore or Reactivation missions.	Provide 5 units of Genetic Repair Meds.		0.9375	-47.8125	46.28125
300250	Juri Ishmaak	Giryak	Pater's Memorial		Mine Launcher:5,Sensors:5,Surface Scanner:5,Missile Rack:3,Torpedo Pylon:3	Felicity Farseer	3	2 A	From Felicity Farseer (grade 3-4).	Earn more than 50 combat bonds.	Provide 100,000 or 1,000,000 credits worth of combat bonds.	Craft modules for a major increase. Hand in bounty vouchers or combat bonds to Pater's Memorial.	14.6875	27.65625	108.65625
400004	Kit Fowler	Capoya	The Last Call	Push ×5, Opinion Polls ×40 (Frontier's update 4.0.18.08 cut Opinion Polls to 5; this list is EDEngineer's and is cumulative along the chain, so check it before you fly)	Added melee damage:0,Extra ammo capacity:0,Faster shield regen:0,Magazine size:0,Stowed reloading:0	Domino Green		2	From Domino Green	Sell 10 Opinion polls to bartenders.	Provide 5 units of Surveillance equipment.		-60.65625	82.4375	-45.0625
300120	Lei Cheung	Laksak	Trader's Rest	Gold ×200	Sensors:5,Shield Generator:5,Surface Scanner:5,Shield Booster:3	The Dweller	3	A 1	From The Dweller (grade 3-4).	You have traded in over 50 markets.	Provide 200 units of Gold.	Craft modules for a major increase. Sell commodities to Trader's Rest.	-21.53125	-6.3125	116.03125
300080	Liz Ryder	Eurybia	Demolition Unlimited	Landmines ×200	Missile Rack:5,Torpedo Pylon:5,Mine Launcher:3,Armour:1,Hull Reinforcement Package:1			Makalu	Public sources.	Gain Cordial or Friendly status with Eurybia Blue Mafia.	Provide 200 units of Landmines.	Craft modules for a major increase. Sell commodities to Demolition Unlimited.	51.40625	-54.40625	-30.5
300230	Lori Jameson	Shinrarta Dezhra	Jameson Base	Kongga Ale ×25	Life Support:5,Sensors:5,Surface Scanner:5,Auto Field-Maintenance Unit:4,Fuel Scoop:4,Refinery:4,Kill Warrant Scanner:3,Manifest Scanner:3,Shield Cell Bank:3,Wake Scanner:3	Marco Qwent	3	A 1	From Marco Qwent (grade 3-4).	Gain combat rank Dangerous or higher.	Provide 25 units of Kongga Ale.	Craft modules for a major increase. Sell exploration data to Jameson Base.	55.71875	17.59375	27.15625
300200	Marco Qwent	Sirius	Qwent Research Base	Modular Terminals ×25	Power Plant:4,Power Distributor:3	Elvira Martuuk	3	Lucifer	From Elvira Martuuk (grade 3-4).	Gain invitation from Sirius Corporation.	Provide 25 units of Modular Terminals.	Craft modules for a major increase. Sell commodities to Qwent Research Base.	6.25	-1.28125	-5.75
300150	Marsha Hicks	Tir	The Watchtower	Osmium ×10	Cannon:5,Collector Limpet Controller:5,Fragment Cannon:5,Fuel Scoop:5,Fuel Transfer Limpet Controller:5,Hatch Breaker Limpet Controller:5,Multi-cannon:5,Prospector Limpet Controller:5,Refinery:5	The Dweller	3	A 2	From The Dweller (grade 3-4).	Gain exploration rank Surveyor or higher.	Mine 10 units of Osmium.	Craft modules for a major increase.	-9532.9375	-923.4375	19799.125
300280	Mel Brandon	Luchtaine	The Brig		Beam Laser:5,Burst Laser:5,Frame Shift Drive:5,Frame Shift Drive Interdictor:5,Pulse Laser:5,Shield Booster:5,Shield Generator:5,Thrusters:5,Shield Cell Bank:4	Elvira Martuuk	3	A 1 C	From Elvira Martuuk (grade 3-4).	Gain invitation from Colonia Council.	Provide 100,000 credits worth of bounty vouchers.	Craft modules for a major increase.	-9523.3125	-914.46875	19825.90625
400008	Oden Geiger	Candiaei	Ankh's Promise	Financial Projections ×15, Biological Sample ×20, Employee Genetic Data ×20, Genetic Research ×20 (EDEngineer's quantities here predate Frontier's update 4.0.18.08 and no per-engineer figure was found for them)	Enhanced tracking:0,Improved battery capacity:0,Night vision:0,Scope:0,Stability:0	Terra Velasquez		9 C	From Terra Velasquez	Sell a total of 20 Biological sample, Employee genetic data and Genetic research to bartenders.			-113.5	-4.9375	66.84375
300130	Petra Olmanova	Asura	Sanctuary	Progenitor Cells ×200	Armour:5,Auto Field-Maintenance Unit:5,Chaff Launcher:5,Electronic Countermeasure:5,Heat Sink Launcher:5,Hull Reinforcement Package:5,Mine Launcher:5,Missile Rack:5,Point Defence:5,Torpedo Pylon:5	Tod 'The Blaster' McQuinn	3	1 A	From Tod McQuinn (grade 3-4).	Gain combat rank Expert or higher.	Provide 200 units of Progenitor Cells.	Craft modules for a major increase.	-9550.28125	-916.65625	19816.1875
300220	Professor Palin	Arque	Abel Laboratory	Sensor Fragment ×25	Thrusters:5,Frame Shift Drive:3	Marco Qwent	3	4 E	From Marco Qwent (grade 3-4).	Attain a maximum distance from your career start location of at least 5,000 light years.	Provide 25 units of Sensor Fragments.	Craft modules for a major increase. Sell exploration data to Abel Laboratory.	66.5	38.0625	61.125
300110	Ram Tah	Meene	Phoenix Base	Classified Scan Databanks ×50	Chaff Launcher:5,Electronic Countermeasure:5,Heat Sink Launcher:5,Point Defence:5,Collector Limpet Controller:4,Fuel Transfer Limpet Controller:4,Prospector Limpet Controller:4,Hatch Breaker Limpet Controller:3	Lei Cheung	3	AB 5 D	From Lei Cheung (grade 3-4).	Gain exploration rank Surveyor or higher.	Provide 50 units of Classified Scan Databanks.	Craft modules for a major increase. Sell exploration data to Phoenix Base.	118.78125	-56.4375	-97.1875
400012	Rosa Dayette	Kojeara	Rosa's Shop		Enhanced Tracking:0,Extra Backpack Capacity:0,Improved Battery Capacity:0,Reduced Tool Battery Consumption:0,Greater Range:0,Scope:0,Stability:0			4 B	Common knowledge.	Sell a total of 10 Culinary Recipes or Cocktail Recipes to stations in Colonia.	Provide 10 units of Manufacturing Instructions data.		-9513.09375	-908.84375	19814.28125
300210	Selene Jean	Kuk	Prospector's Rest	Painite ×10	Armour:5,Hull Reinforcement Package:5	Tod 'The Blaster' McQuinn	3	B 3	From Tod McQuinn (grade 3-4).	Mine at least 500 tons of ore.	Provide 10 units of Painite.	Craft modules for a major increase. Sell commodities and exploration data to Prospector's Rest.	-21.28125	69.09375	-16.3125
400006	Terra Velasquez	Shou Xing	Rascal's Choice	Genetic Repair Meds ×5	Combat Movement Speed:0,Improved Hip Fire Accuracy (Kinematic kinetic):0,Improved Hip Fire Accuracy (Manticore plasma):0,Improved Hip Fire Accuracy (Takada laser):0,Increased air reserves:0,Increased sprint duration:0,Noise suppressor:0	Jude Navarro		1	From Jude Navarro	Complete 6 Covert theft and Covert heist missions.	Provide 15 Financial projections.		-16.28125	-44.53125	94.375
300180	The Dweller	Wyrd	Black Hide		Power Distributor:5,Pulse Laser:4,Beam Laser:3,Burst Laser:3			A 2	Common knowledge	Deal with at least 5 black markets.	Pay 500,000 credits.	Craft modules for a major increase. Sell commodities to Black Hide.	-11.625	31.53125	-3.9375
300040	The Sarge	Beta-3 Tucani	The Beach	Aberrant Shield Pattern Analysis ×50	Cannon:5,Collector Limpet Controller:5,Fuel Transfer Limpet Controller:5,Hatch Breaker Limpet Controller:5,Prospector Limpet Controller:5,Rail Gun:3	Juri Ishmaak	3	2 B A	From Juri Ishmaak (grade 3-4).	Gain rank Midshipman or higher with the Federal Navy.	Provide 50 units of Aberrant Shield Pattern Analysis.	Craft modules for a major increase. Sell exploration data and hand in bounty vouchers to The Beach.	32.25	-55.1875	23.875
300270	Tiana Fortune	Achenar	Fortune's Loss	Decoded Emission Data ×50	Collector Limpet Controller:5,Fuel Transfer Limpet Controller:5,Hatch Breaker Limpet Controller:5,Kill Warrant Scanner:5,Manifest Scanner:5,Prospector Limpet Controller:5,Sensors:5,Wake Scanner:5,Frame Shift Drive Interdictor:3,Surface Scanner:3	Hera Tani	3	4 A	From Hera Tani (grade 3-4).	Friendly with the Empire.	Provide 50 units of Decoded Emission Data.	Craft modules for a major increase. Sell commodities to Fortune's Loss.	67.5	-119.46875	24.84375
300260	Tod 'The Blaster' McQuinn	Wolf 397	Trophy Camp		Multi-cannon:5,Rail Gun:5,Fragment Cannon:3,Cannon:2			Trus Madi	Common knowledge.	Earn more than 15 bounty vouchers.	Provide 100,000 credits worth of bounty vouchers.	Craft modules for a major increase. Hand in Alliance bounty vouchers to Trophy Camp.	40.0	79.21875	-10.40625
400007	Uma Laszlo	Xuane	Laszlo's Resolve	Insight Entertainment Suite ×5	Damage resistance:0,Faster shield regen:0,Headshot damage (Kinematic kinetic):0,Headshot damage (Manticore plasma):0,Headshot damage (Takada laser):0,Reload speed:0,Stowed reloading:0	Wellington Beck		A 3	From Wellington Beck	Reach Unfriendly reputation or lower with Sirius Corporation.			93.875	-9.25	-32.53125
400005	Wellington Beck	Jolapa	Beck Facility	Settlement Defence Plans ×15, Classic Entertainment ×25, Multimedia Entertainment ×25, Cat Media ×25 (Frontier's update 4.0.18.08 cut Settlement Defence Plans to 5 and the three entertainment kinds to 15 in total rather than 15 of each)	Extra backpack capacity:0,Greater range (Kinematic kinetic):0,Greater range (Manticore plasma):0,Greater range (Takada laser):0,Improved battery capacity:0,Reduced tool battery consumption:0,Scope:0	Hero Ferrari		6 A	From Hero Ferrari	Sell a total of 25 Multimedia Entertainment, Classic Entertainment and Cat media to bartenders.	Provide 5 units of Insight Entertainment suites.		100.1875	-41.34375	-78.0
400009	Yarden Bond	Bayan	Salamander Bank	Surveillance Equipment ×5, Smear Campaign Plans ×8 (Frontier's update 4.0.18.08 cut Smear Campaign Plans to 5)	Audio Masking:0,Combat Movement Speed:0,Faster handling:0,Higher Accuracy (Kinetic Weapons):0,Higher Accuracy (Plasma Weapons):0,Higher Accuracy (Thermal Weapons):0,Improved Hip Fire Accuracy (Kinematic kinetic):0,Improved Hip Fire Accuracy (Manticore plasma):0,Improved Hip Fire Accuracy (Takada laser):0,Improved jump assist:0,Quieter footsteps:0	Kit Fowler		7 B	From Kit Fowler	Sell 8 Smear campaign plans to bartenders.			-19.96875	117.625	-90.46875
400013	Yi Shen	Einheriar	Eidolon Hold		Night Vision:0,Quieter Footsteps:0,Audio Masking:0,Headshot Damage:0	Baltanos,Eleanor Bresa,Rosa Dayette		1 A	From Baltanos, Eleanor Bresa and Rosa Dayette	Complete referral tasks for Baltanos, Eleanor Bresa and Rosa Dayette.			-9557.8125	-880.1875	19801.5625
300050	Zacariah Nemo	Yoru	Nemo Cyber Party Base	Xihe Companions ×25	Fragment Cannon:5,Multi-cannon:3,Plasma Accelerator:2	Elvira Martuuk	3	4	From Elvira Martuuk (grade 3-4).	Gain invitation from Party of Yoru.	Provide 25 units of Xihe Companions.	Craft modules for a major increase. Sell commodities to Nemo Cyber Party Base.	97.875	-86.90625	64.125
